General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.70,11.60,12.30,14.00,15.30,17.00,22.80,25.90,28.30,28.50,27.90,27.70,27.50,28.30,33.60,37.40,39.80,44.50,44.90,42.20,40.00,36.80,34.70,33.00,31.60,30.70,29.90,28.10,26.40,25.10
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,116.40,103.90,107.80,102.30,98.40,87.10,77.90,78.40,80.40,79.40,74.00,70.80,64.20,63.00,69.20,45.00,43.40,44.80,47.30,48.40,49.80,52.20,50.90,49.10,48.40,47.40,46.80,47.20
Denmark,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.80,78.60,75.20,71.40,68.30,64.30,60.30,56.80,52.40,48.50,49.10,46.20,44.20,37.40,31.50,27.30,33.30,40.20,42.60,46.10,44.90,44.00,44.30,39.80,37.30,34.80,34.30,33.60,32.90,35.20,37.30,38.90,39.50
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.50,58.20,58.10,63.70,66.30,65.30,60.40,59.30,56.70,59.30,59.50,51.90,45.20,43.30,42.70,44.90,60.70,67.60,69.00,67.40,63.00,58.70,53.30,47.40,41.70,36.50
Dominica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.10,56.90,54.00,53.40,55.90,57.40,53.70,47.70,56.30,61.80,68.90,98.50,97.90,94.90,86.20,82.00,77.40,71.80,64.40,62.50,66.80,69.70,72.40,80.10,78.70,75.30,72.00,78.60,83.10,79.80,82.30,83.30,82.20,80.50,78.20
Dominican Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.80,13.20,16.00,16.70,16.20,17.10,35.70,23.40,20.80,19.30,17.30,23.80,27.60,27.90,29.60,33.50,38.90,37.80,37.00,38.60,40.80,41.60,41.90,42.00,42.30,42.50,42.90,43.20
Ecuador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.30,52.20,45.10,38.70,34.70,31.10,28.50,24.20,18.60,17.70,16.80,17.50,20.00,27.10,33.80,43.20,44.60,46.10,49.20,46.80,45.20,40.80,36.60,33.40
Egypt,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.80,72.40,71.70,79.10,85.80,97.10,96.50,98.30,85.90,76.30,66.80,69.50,69.60,72.80,73.80,84.00,85.10,88.50,96.80,103.20,92.60,86.90,84.60,81.30,79.30,75.50,72.80
El Salvador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.30,36.40,31.90,30.50,28.00,28.50,27.80,25.70,28.00,29.60,36.50,42.30,44.50,45.40,44.80,45.30,44.90,46.80,56.60,57.70,57.00,61.50,60.90,63.00,64.30,65.50,67.30,67.10,68.10,68.70,68.80,69.00,69.40,70.10
Equatorial Guinea,146.20,221.10,260.70,259.30,257.90,183.80,152.50,141.30,154.50,187.00,157.00,169.50,136.90,152.60,216.00,136.90,91.20,46.30,59.20,60.50,36.60,25.50,19.40,6.70,4.50,2.90,1.20,0.80,0.50,4.30,7.90,7.20,7.10,6.30,12.60,33.60,43.40,38.00,35.90,37.50,37.00,39.30,41.30,42.70,43.20
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,169.50,184.60,188.40,204.30,149.70,158.90,154.00,155.80,173.60,144.60,143.80,132.40,128.30,127.50,128.70,132.50,132.80,131.20,129.40,127.30,136.20,132.20,127.60,124.10,120.40
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.90,7.40,6.10,5.50,6.00,5.10,4.80,5.70,5.60,5.10,4.50,4.40,3.70,4.50,7.00,6.60,6.10,9.70,10.20,10.50,9.90,9.20,8.70,8.10,7.60,7.20,6.80,6.40,6.10,5.80
Eswatini,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.50,12.70,12.10,11.20,12.30,15.20,16.20,17.70,21.00,16.70,17.20,14.60,13.20,14.20,15.70,14.20,10.40,13.80,14.20,14.60,14.80,14.00,19.20,26.00,29.20,34.90,41.10,43.10,42.60,42.80,43.20,43.60
Ethiopia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,87.90,141.00,155.20,146.60,132.80,80.30,89.30,97.80,93.60,97.30,107.40,103.70,103.10,78.20,69.90,46.80,41.70,37.80,40.50,45.30,42.20,47.50,47.90,54.50,56.10,59.00,61.10,57.40,56.30,55.30,54.90,54.00,53.50
Fiji,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.00,47.90,51.60,52.40,52.90,58.70,39.80,35.50,40.10,44.70,47.20,48.90,48.60,48.10,53.80,50.30,51.40,55.80,56.20,52.70,51.60,49.70,48.20,46.20,47.50,48.20,49.70,50.20,50.40,50.40,50.40,50.20,50.10
Finland,10.90,11.50,13.90,15.40,15.20,15.80,16.40,17.60,16.50,14.30,13.80,21.90,39.30,54.10,56.10,55.10,55.30,52.20,46.90,44.00,42.50,40.90,40.20,42.70,42.60,39.90,38.10,34.00,32.70,41.70,47.10,48.50,53.90,56.50,60.20,63.50,63.00,61.30,60.50,59.90,59.00,58.50,56.80,55.00,53.30
France,20.80,22.00,25.40,26.70,29.10,30.70,31.30,33.70,33.60,34.40,35.60,36.50,40.20,46.60,49.90,56.10,60.00,61.40,61.40,60.50,58.90,58.30,60.30,64.40,65.90,67.40,64.60,64.50,68.80,83.00,85.30,87.80,90.60,93.40,94.90,95.60,96.60,98.50,98.60,99.20,98.70,98.20,97.60,97.00,96.20
Gabon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,90.00,89.30,87.90,90.10,71.30,73.40,64.50,57.00,87.60,73.10,72.50,81.00,81.10,70.20,60.30,49.30,39.60,39.20,20.10,26.00,21.30,21.40,21.40,31.10,34.10,44.70,64.20,62.60,58.20,58.50,55.70,51.80,47.40,43.90,41.80
"Gambia, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.30,72.20,90.10,88.00,78.00,78.80,86.00,38.20,38.30,37.90,40.70,49.70,49.20,58.60,69.40,68.60,82.30,87.90,83.20,78.70,75.20,72.30,70.00,67.40,64.60
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.70,61.30,58.10,63.10,50.40,39.90,32.00,25.50,31.20,41.00,42.40,36.50,34.80,34.70,35.60,41.40,44.40,45.10,44.50,45.00,43.90,42.80,41.80,41.10,41.00
Germany,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39.10,41.60,45.20,47.50,54.80,57.60,58.70,59.40,60.00,58.90,57.70,59.40,63.10,64.80,67.00,66.50,63.70,65.20,72.60,81.00,78.60,79.90,77.40,74.50,70.80,67.90,63.90,59.80,56.90,53.80,51.10,48.50,46.00,43.70
Ghana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.00,18.50,22.90,37.10,55.20,49.10,44.10,46.70,40.60,55.80,79.20,61.70,57.90,52.70,41.20,34.00,18.60,22.60,24.90,27.00,34.60,31.40,35.60,43.20,51.20,54.80,57.10,57.30,59.60,62.00,60.00,58.20,56.30,52.70,50.20
Greece,22.50,26.70,29.30,33.60,40.10,46.60,47.10,52.40,57.10,59.80,73.20,74.70,80.00,100.30,98.30,99.00,101.30,99.50,97.40,98.90,104.90,107.10,104.90,101.50,102.90,107.40,103.60,103.10,109.40,126.70,146.20,180.60,159.60,177.90,180.20,177.80,181.10,179.30,183.30,174.20,167.30,160.90,153.80,147.20,143.20
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42.00,40.10,45.30,45.70,43.10,43.90,41.40,40.30,34.50,41.60,44.60,79.10,79.60,94.70,87.30,92.90,89.10,83.90,91.10,96.90,100.70,103.30,108.10,101.80,90.10,81.60,69.90,63.10,56.10,48.60,45.90,45.40,45.10,43.60
Guatemala,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.00,20.20,18.40,20.90,21.40,20.80,21.70,21.30,20.10,22.90,24.10,23.70,24.30,24.60,24.30,24.20,24.50,24.70,24.50,24.80,25.30,25.40,25.90,26.30,26.50
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.60,70.90,62.00,68.90,71.30,66.50,67.70,67.90,75.90,92.30,91.50,90.40,82.60,81.60,86.90,97.90,95.20,60.80,58.50,61.30,68.80,58.10,27.20,34.00,35.10,41.90,42.00,40.40,38.70,46.00,45.30,42.90,41.00,39.40,37.60
Guinea-Bissau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,159.70,171.60,156.90,233.70,221.70,224.70,212.60,221.00,222.00,204.00,177.20,163.30,159.00,68.30,45.80,46.50,48.90,57.40,56.00,57.90,53.90,56.10,54.90,51.80,50.20,48.90,46.80,44.80
Guyana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,135.10,143.10,132.40,130.80,141.10,141.60,127.90,122.20,118.60,97.30,61.20,62.90,66.90,67.90,66.70,63.50,58.00,51.90,50.10,50.70,52.20,57.00,57.20,54.20,50.90,50.00,39.70,33.30
Haiti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42.90,39.70,39.80,55.20,49.50,54.30,62.00,49.90,47.20,39.10,34.50,38.00,27.80,17.30,11.80,16.30,21.50,26.30,30.30,33.70,31.00,33.00,36.20,36.70,37.00,37.30,37.40,37.40
Honduras,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,236.50,135.40,123.20,111.70,85.50,65.40,64.60,70.80,67.40,75.80,65.80,63.40,64.20,67.80,60.90,55.60,39.20,24.00,22.30,24.30,23.60,25.20,29.80,37.70,37.50,37.40,38.40,39.10,40.30,40.80,41.00,40.70,39.80,39.40,37.60
Hong Kong SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.30,3.50,1.60,1.50,1.40,1.10,1.00,0.90,0.70,0.60,0.60,0.50,0.50,0.10,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,84.10,71.30,61.90,59.80,59.70,55.00,51.60,54.80,57.40,58.30,60.20,64.40,65.30,71.20,77.50,80.20,80.50,78.40,77.10,76.60,76.60,75.90,73.30,69.40,66.60,65.00,63.50,62.20,61.00,59.90
Iceland,no data,no data,28.90,30.70,32.40,32.00,29.80,27.30,30.60,35.30,35.50,37.60,45.40,52.20,54.80,58.00,55.20,52.00,43.50,38.90,37.20,42.40,39.10,38.10,32.70,24.50,29.00,27.10,66.10,80.90,85.40,92.00,89.40,81.80,78.80,65.00,51.20,43.10,35.40,33.10,30.10,27.80,25.70,23.30,22.00
