Date,Median,Upper,Lower
1884/07,-0.424,-0.483,-0.373
1884/08,-0.413,-0.469,-0.363
1884/09,-0.346,-0.399,-0.295
1884/10,-0.332,-0.391,-0.281
1884/11,-0.567,-0.625,-0.52
1884/12,-0.415,-0.477,-0.352
1885/01,-0.502,-0.571,-0.452
1885/02,-0.412,-0.478,-0.353
1885/03,-0.482,-0.547,-0.424
1885/04,-0.469,-0.528,-0.416
1885/05,-0.518,-0.605,-0.467
1885/06,-0.486,-0.546,-0.434
1885/07,-0.316,-0.384,-0.257
1885/08,-0.505,-0.561,-0.457
1885/09,-0.329,-0.383,-0.281
1885/10,-0.242,-0.296,-0.19
1885/11,-0.262,-0.323,-0.212
1885/12,-0.155,-0.218,-0.092
1886/01,-0.396,-0.465,-0.347
1886/02,-0.47,-0.535,-0.409
1886/03,-0.412,-0.473,-0.355
1886/04,-0.338,-0.396,-0.28
1886/05,-0.188,-0.271,-0.131
1886/06,-0.382,-0.436,-0.327
1886/07,-0.28,-0.34,-0.22
1886/08,-0.335,-0.39,-0.283
1886/09,-0.432,-0.485,-0.38
1886/10,-0.361,-0.417,-0.308
1886/11,-0.423,-0.485,-0.374
1886/12,-0.42,-0.485,-0.358
1887/01,-0.566,-0.634,-0.511
1887/02,-0.556,-0.624,-0.497
1887/03,-0.457,-0.523,-0.401
1887/04,-0.435,-0.496,-0.378
1887/05,-0.355,-0.445,-0.294
1887/06,-0.404,-0.466,-0.347
1887/07,-0.274,-0.339,-0.221
1887/08,-0.362,-0.421,-0.318
1887/09,-0.337,-0.394,-0.287
1887/10,-0.499,-0.556,-0.443
1887/11,-0.404,-0.461,-0.356
1887/12,-0.395,-0.459,-0.337
1888/01,-0.591,-0.658,-0.531
1888/02,-0.44,-0.513,-0.385
1888/03,-0.534,-0.606,-0.473
1888/04,-0.238,-0.295,-0.186
1888/05,-0.347,-0.427,-0.288
1888/06,-0.292,-0.353,-0.246
1888/07,-0.304,-0.368,-0.24
1888/08,-0.278,-0.343,-0.23
1888/09,-0.219,-0.279,-0.172
1888/10,-0.095,-0.146,-0.038
1888/11,-0.194,-0.262,-0.146
1888/12,-0.169,-0.246,-0.114
1889/01,-0.067,-0.135,-0.005
1889/02,-0.082,-0.158,-0.023
1889/03,-0.064,-0.137,0.001
1889/04,0.01,-0.048,0.068
1889/05,-0.08,-0.171,-0.021
1889/06,-0.144,-0.215,-0.084
1889/07,-0.191,-0.263,-0.123
1889/08,-0.22,-0.282,-0.17
1889/09,-0.381,-0.449,-0.332
1889/10,-0.298,-0.361,-0.236
1889/11,-0.398,-0.467,-0.335
1889/12,-0.179,-0.254,-0.122
1890/01,-0.329,-0.394,-0.272
1890/02,-0.368,-0.446,-0.302
1890/03,-0.463,-0.537,-0.393
1890/04,-0.324,-0.39,-0.259
1890/05,-0.417,-0.512,-0.356
1890/06,-0.371,-0.446,-0.311
1890/07,-0.405,-0.489,-0.337
1890/08,-0.416,-0.493,-0.369
1890/09,-0.473,-0.538,-0.422
1890/10,-0.498,-0.568,-0.435
1890/11,-0.555,-0.62,-0.499
1890/12,-0.411,-0.488,-0.353
1891/01,-0.512,-0.584,-0.453
1891/02,-0.474,-0.551,-0.407
1891/03,-0.363,-0.442,-0.291
1891/04,-0.358,-0.429,-0.296
1891/05,-0.199,-0.306,-0.137
1891/06,-0.288,-0.37,-0.221
1891/07,-0.323,-0.406,-0.246
1891/08,-0.313,-0.4,-0.254
1891/09,-0.193,-0.275,-0.137
1891/10,-0.322,-0.407,-0.267
1891/11,-0.541,-0.607,-0.478
1891/12,-0.115,-0.206,-0.054
1892/01,-0.398,-0.473,-0.337
1892/02,-0.112,-0.188,-0.055
1892/03,-0.47,-0.546,-0.404
1892/04,-0.484,-0.551,-0.421
1892/05,-0.403,-0.5,-0.338
1892/06,-0.461,-0.535,-0.386
1892/07,-0.526,-0.608,-0.453
1892/08,-0.443,-0.535,-0.382
1892/09,-0.325,-0.398,-0.277
1892/10,-0.441,-0.524,-0.382
1892/11,-0.627,-0.695,-0.56
1892/12,-0.793,-0.876,-0.731
1893/01,-0.974,-1.057,-0.913
1893/02,-0.727,-0.807,-0.659
1893/03,-0.373,-0.458,-0.305
1893/04,-0.567,-0.64,-0.507
1893/05,-0.559,-0.656,-0.494
1893/06,-0.459,-0.542,-0.393
1893/07,-0.277,-0.362,-0.204
1893/08,-0.291,-0.377,-0.238
1893/09,-0.43,-0.501,-0.38
1893/10,-0.274,-0.35,-0.217
1893/11,-0.415,-0.485,-0.348
1893/12,-0.34,-0.417,-0.274
1894/01,-0.465,-0.539,-0.411
1894/02,-0.374,-0.461,-0.312
1894/03,-0.38,-0.468,-0.31
1894/04,-0.388,-0.463,-0.328
1894/05,-0.421,-0.524,-0.361
1894/06,-0.493,-0.572,-0.424
1894/07,-0.315,-0.406,-0.241
1894/08,-0.341,-0.424,-0.281
1894/09,-0.458,-0.528,-0.405
1894/10,-0.444,-0.528,-0.378
1894/11,-0.42,-0.497,-0.351
1894/12,-0.41,-0.484,-0.352
1895/01,-0.497,-0.576,-0.44
1895/02,-0.677,-0.76,-0.616
1895/03,-0.519,-0.61,-0.453
1895/04,-0.405,-0.48,-0.337
1895/05,-0.415,-0.508,-0.354
1895/06,-0.333,-0.418,-0.265
1895/07,-0.348,-0.437,-0.268
1895/08,-0.261,-0.338,-0.203
1895/09,-0.284,-0.355,-0.238
1895/10,-0.337,-0.403,-0.279
1895/11,-0.297,-0.367,-0.227
1895/12,-0.318,-0.397,-0.258
1896/01,-0.219,-0.295,-0.162
1896/02,-0.23,-0.311,-0.165
1896/03,-0.387,-0.475,-0.317
1896/04,-0.352,-0.423,-0.287
1896/05,-0.205,-0.309,-0.143
1896/06,-0.119,-0.205,-0.052
1896/07,-0.112,-0.189,-0.047
1896/08,-0.063,-0.135,-0.011
1896/09,-0.109,-0.18,-0.06
1896/10,-0.123,-0.191,-0.062
1896/11,-0.286,-0.359,-0.221
1896/12,-0.034,-0.115,0.024
1897/01,-0.203,-0.277,-0.134
1897/02,-0.125,-0.204,-0.062
1897/03,-0.275,-0.364,-0.211
1897/04,-0.076,-0.147,-0.015
1897/05,-0.031,-0.119,0.032
1897/06,-0.155,-0.24,-0.087
1897/07,-0.157,-0.236,-0.082
1897/08,-0.149,-0.219,-0.09
1897/09,-0.135,-0.204,-0.087
1897/10,-0.258,-0.33,-0.196
1897/11,-0.453,-0.516,-0.383
1897/12,-0.477,-0.559,-0.417
1898/01,-0.085,-0.156,-0.022
1898/02,-0.38,-0.462,-0.322
1898/03,-0.749,-0.833,-0.677
1898/04,-0.573,-0.644,-0.508
1898/05,-0.474,-0.57,-0.416
1898/06,-0.319,-0.403,-0.259
1898/07,-0.377,-0.455,-0.306
1898/08,-0.306,-0.377,-0.252
1898/09,-0.332,-0.405,-0.282
1898/10,-0.556,-0.624,-0.491
1898/11,-0.449,-0.52,-0.376
1898/12,-0.346,-0.427,-0.284
1899/01,-0.208,-0.284,-0.152
1899/02,-0.494,-0.579,-0.432
1899/03,-0.544,-0.626,-0.478
1899/04,-0.351,-0.418,-0.283
1899/05,-0.316,-0.404,-0.252
1899/06,-0.39,-0.478,-0.319
1899/07,-0.275,-0.351,-0.201
1899/08,-0.147,-0.216,-0.092
1899/09,-0.136,-0.206,-0.074
1899/10,-0.188,-0.262,-0.124
1899/11,0.028,-0.048,0.098
1899/12,-0.45,-0.531,-0.38
1900/01,-0.266,-0.343,-0.2
1900/02,-0.172,-0.261,-0.105
