UNODC Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China, 2.1 , 2.0 , 2.0 , 1.9 , 1.9 , 1.6 , 1.4 , 1.2 , 1.1 , 1.1 , 1.0 , 0.9 , 0.8 , 0.8 , 0.7 , 0.7 , 0.6 
"China, Hong Kong Special Administrative Region", 0.6 , 1.0 , 1.0 , 0.8 , 0.7 , 0.5 , 0.5 , 0.3 , 0.5 , 0.7 , 0.5 , 0.2 , 0.4 , 0.9 , 0.4 , 0.3 , 0.4 
"China, Macao Special Administrative Region", 2.3 , 1.8 , 0.4 , 1.7 , 0.8 , 0.8 , 2.0 , 1.2 , 0.8 , 1.1 , 0.4 , 0.7 , 0.7 , 0.2 , -   , 0.2 , 0.2 
"China, Taiwan Province of China",, 1.4 ,,,,, 1.0 , 0.8 , 0.8 , 0.8 , 0.8 ,, 0.8 , 0.7 ,, 0.8 ,
Democratic People's Republic of Korea###, 6.6 ,,,,, 5.0 ,,,,, 4.8 ,,,,, 4.4 ,
Japan, 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0.4 , 0.5 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 
Mongolia,,,, 13.9 , 13.3 , 15.8 , 13.1 , 11.3 , 8.1 , 8.2 , 8.8 , 9.6 , 7.1 , 7.1 , 7.3 , 6.2 , 5.7 
Republic of Korea,,,,,,,,,,,, 0.9 , 0.8 , 0.7 , 0.7 , 0.7 , 0.7 
Brunei Darussalam, 1.2 ,,, 0.8 , 0.6 , 0.5 , 0.8 , 0.8 , 0.3 , 0.8 , 0.3 , 0.3 , 1.0 , 0.5 ,,,
Cambodia, 4.7 , 3.3 , 3.4 , 4.0 , 3.9 , 3.4 , 3.0 , 2.9 , 2.4 , 2.3 , 2.3 , 1.8 ,,,,,
Indonesia, 1.0 ,,, 0.7 , 0.6 ,,,, 0.6 , 0.5 , 0.4 , 0.6 , 0.6 , 0.5 , 0.5 , 0.6 , 0.5 
Lao People's Democratic Republic, 10.7 ,,,,, 9.6 ,,,,, 8.0 ,,,,, 7.0 ,
Malaysia, 2.4 , 2.2 , 2.3 , 2.3 , 2.0 , 2.4 , 2.2 , 2.4 , 2.2 , 2.0 , 1.9 , 1.9 , 2.1 , 2.1 ,,,
Myanmar, 2.3 , 2.0 , 1.7 , 1.6 , 1.5 , 1.4 , 1.6 , 1.5 , 1.6 , 1.8 , 1.6 , 2.1 , 2.8 , 2.4 , 2.4 , 2.2 , 2.3 
Philippines*, 7.4 , 7.3 , 8.1 , 7.8 , 7.5 , 7.5 , 7.1 , 6.7 , 6.4 , 9.9 , 9.5 , 9.1 , 8.8 , 9.3 , 9.7 , 9.5 , 11.0 
Singapore, 0.9 , 0.7 , 0.5 , 0.6 , 0.5 , 0.5 , 0.4 , 0.4 , 0.6 , 0.4 , 0.4 , 0.3 , 0.2 , 0.3 , 0.3 , 0.3 , 0.3 
Thailand, 8.2 , 7.9 , 7.1 , 10.0 , 6.6 , 7.3 , 7.1 , 6.7 , 6.0 , 5.5 , 5.4 , 4.9 , 4.9 , 4.2 , 3.9 , 3.5 , 3.2 
Timor-Leste,,,,, 2.3 , 4.5 , 4.7 , 5.8 , 3.2 , 2.9 , 3.5 ,,,,, 3.9 ,
Viet Nam,, 1.2 , 1.3 , 1.3 , 1.3 , 1.2 , 1.2 , 1.4 , 1.3 , 1.4 , 1.5 , 1.5 ,,,,,
Afghanistan,,,,,,,,,, 4.0 , 3.4 , 4.1 , 6.3 ,,,,
Bangladesh, 2.5 , 2.7 , 2.6 , 2.5 , 2.8 , 2.5 , 2.9 , 2.6 , 2.8 , 2.8 , 2.6 , 2.6 , 2.6 , 2.8 , 2.8 , 2.5 ,
Bhutan, 3.1 , 3.2 , 3.1 , 0.8 , 2.3 , 1.7 , 1.3 , 2.0 , 2.6 , 2.2 , 2.2 , 4.3 , 4.4 , 3.1 ,, 1.5 , 1.1 
India, 4.9 , 4.6 , 4.5 , 4.0 , 4.1 , 3.9 , 3.9 , 3.8 , 3.8 , 3.8 , 3.8 , 3.8 , 3.8 , 3.6 , 3.7 , 3.4 , 3.2 
Iran (Islamic Republic of),,,, 2.6 , 2.9 ,,,,, 3.0 ,,,, 2.6 , 2.5 ,,
Maldives,, 2.4 , 2.7 , 1.3 ,,,, 0.9 , 1.4 , 1.7 , 1.6 , 0.8 , 2.6 , 0.8 ,,,
Nepal, 2.7 , 3.5 , 3.5 , 3.0 , 3.7 , 3.4 , 2.4 , 3.2 , 3.4 , 3.0 , 3.0 , 2.5 , 2.3 , 2.2 , 2.0 ,, 2.2 
Pakistan, 6.4 , 6.8 , 6.5 , 6.3 , 6.4 , 6.4 , 6.4 , 6.6 , 7.4 , 7.5 , 7.7 , 8.0 , 7.8 , 7.7 , 7.2 , 5.0 , 4.4 
Sri Lanka*,,,, 6.8 , 7.1 , 6.2 , 10.4 ,, 10.0 , 5.5 , 3.8 , 3.6 , 3.3 , 3.0 , 2.7 , 2.4 , 2.5 
Armenia, 3.0 , 2.9 , 2.3 , 2.5 , 2.8 , 1.9 , 2.7 , 2.6 , 3.3 , 3.4 , 1.9 , 2.5 , 2.3 , 2.2 , 2.5 , 2.6 , 3.0 
Azerbaijan, 2.8 , 2.7 , 2.6 , 2.2 , 2.4 , 2.2 , 2.2 , 2.2 , 2.2 ,, 2.3 ,, 2.2 , 2.4 , 2.5 ,, 2.1 
Bahrain,, 1.3 , 1.1 , 0.4 , 0.8 , 0.4 , 0.7 , 0.4 , 0.5 , 1.1 , 0.9 , 0.5 , 0.3 , 0.4 , 0.5 ,,
Cyprus, 0.8 , 0.7 , 0.2 , 1.4 , 1.6 , 1.9 , 1.4 , 1.2 , 0.8 , 1.7 , 0.7 , 0.8 , 1.9 , 1.0 , 1.0 , 1.3 , 1.1 
Georgia, 5.1 , 5.6 , 6.3 , 6.6 , 6.6 , 9.0 , 7.3 , 7.5 , 6.1 , 4.9 , 4.4 ,,,, 2.7 ,, 1.0 
Iraq**,,,,,,,,, 15.8 , 8.5 , 8.7 , 8.3 , 8.2 , 9.9 ,,,
Iraq (Central Iraq)**,,,,,,,,, 17.9 , 9.6 , 9.7 , 9.3 , 9.2 , 11.1 , 10.1 ,,
Iraq (Kurdistan Region)**,,,,,,,,, 3.3 , 2.2 , 3.0 , 2.5 , 2.1 , 2.2 ,,,
Israel, 2.4 , 3.6 , 3.6 , 3.1 , 2.7 , 2.5 , 2.7 , 1.8 , 1.9 , 1.8 , 2.0 , 2.0 , 1.7 ,, 1.5 , 1.4 ,
Jordan,,,,,, 1.2 , 1.7 , 1.8 , 1.8 , 1.5 , 1.6 , 1.9 , 2.0 , 1.7 , 2.0 , 1.7 , 1.5 
