"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Central Europe and the Baltics","CEB","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","12000000","17000000","16000000","13000000","21000000","3000000","4000000","1000000","12000000","1000000","22000000","14119985.0895","37373928.0956","20203748.7087","20851000","-10070000","17926000.4811741","223489360.548221","212528102.299659","147481333.422043","267202757.169699","1038471060.29741","1119953642.56358","544398627.382838","981777227.068451","1130594571.44061","2563669554.67628","6868095439.84322","8094710697.10511","13661547630.4438","36823272785.4049","90561722827.3588","91305364642.9598","11466315816.9944","-6211787860.46952","17027536318.9297","12468168946.1718","3614628640.98828","26144462747.1379","3002916155.57583","91164118083.8513","632033526.161557","",
"Switzerland","CHE","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","492105900.642452","1139302459.43907","4572823930.40647","1460323342.88788","1273478146.6724","8694731087.2685","9196020599.96638","5529967186.36586","5455401298.24091","5754440692.59042","8148256764.83525","10748761143.3126","11289089285.6262","16659250329.6899","18817587528.5302","20463807187.7726","35370718284.3231","47305928823.2339","18748515776.8101","10057242155.1355","17924233030.0143","31313906774.4928","54033813133.4678","85323489778.3842","67278840396.3029","30284125941.5384","44704115918.2064","74105205102.3192","43331824305.8357","54298783048.5463","12546544688.6579","11556279937.502","128025409937.056","84577763120.2994","-17803373492.3297","",
"Channel Islands","CHI","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","200000","5000000","4000000","11000000","","21300000","16700000","2800000","11000000","1700000","2500000","5500000","15600000","6800000","7500000","125300000","397800000","434200000","910700000","752000000","1133452223.47","1462692823.08779","1483481263.58978","2557923987.36262","3986645149.32211","1609732036.22246","343153489.434828","1606254691.30611","1563118299.06","2182714946.77094","2171453158.01779","2572830368.43","8041186415.33","7232888400.87565","9460710399.69056","20251948266.9055","20556117213.9735","9888339507.41457","12800288801.0231","16024823180.8668","7464647157.37039","4824073573.07751","",
"China","CHN","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","44000000","93000000","134000000","629000000","450000000","645000000","850000000","780000000","830000000","913000000","4000000000","4400000000","2000000000","2000000000","2114000000","3765000000","4527000000","4036000000","4612000000","9696000000","6284049718.62298","8456083723.56331","7972601713.71155","13729566302.8637","23932198467.5382","17154799701.5885","56742276629.6973","43889985500","57953599366.3569","48420641059.6476","64963386524","72970879683.31","123129554305.76","174390681862.62","216424460753.575","101914100246.789","",
"Cote d'Ivoire","CIV","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","201468.9324","107140.6569","430470.0822","5663419.9789","0","","","","1472354.4187","7008540.5473","390967","49414454.4469","-28876650.3477","6348881.5152","7872255.6224","-5179237.804","-4203159.8136","23163640.4443","-25513948.9679","36999583.5102404","31788096.5321201","16438522.7678524","20341816.262109","9440483.87301276","44050499.8341564","15271704.8009927","14301668.7782919","-6399623.02719088","16197325.6544845","14402581.9481824","28631983.2454135","26542279.2225","",
"Cameroon","CMR","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","4000000","8000000","2000000","8000000","4395967.83557168","6868866.59355082","-2162450.37779335","-8235534.17927581","-368010.397992036","4290849.57580399","5222191.98740501","10115419.5508815","10550613.7683616","15708655.1056846","11546016.1395089","28638747.7279922","26080826.152034","15095598.7767631","21516665.5280802","33057314.1109316","22107440.9304129","13076258.2824087","8414330.85242347","11196310.8003393","67380784.1611191","-135858901.447973","38829029.8921797","10184749.4929474","-49733403.7003307","-131994056.030334","6357532.6988959","-8714996.00008738","-13670967.8070309","-5307042.43395486","-7705520.46203153","-2206316.22280261","-65804536.4898769","500491622.270359","186849611.292211","-282327793.889641","-157517597.970691","-11771488.6377838","55795126.3488471","-38888607.4950029","21864787.8990806","",
"Congo, Dem. Rep.","COD","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","882894.0786","10","200342.6732","19348094.7669","17188958.7898","-1222669.7448","-1065385.9115","-1800000","900000","16534332.2535","23431563.028","7565534.6512","13400000","18400000","14300000","54100000","34800000","7200000","90900000","420534933.8","400663272.5","343601083.4","507780089.849505","272333947.788391","292224618.0301","",
"Congo, Rep.","COG","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","2414000","2994000","3443000","3753000","1511000","-67000","80000","309000","-419000","3793000","1309000","1208000","1129000","-912000","-10618084.1709153","-10542418.8819258","-124875491.934961","-210578229.196972","-587173151.992328","-259956696.096311","-206702647.321542","-127827127.544384","-101858169.357141","101460422.59007","287410722.444305","169000","-45258717.6663759","-91758637.2418614","-89543048.6395625","592308924.546218","99829164.6575954","220444697.422725","1282402137.43401","1249284627.05442","549211717.788556","1196934604.61326","4333000","",
"Colombia","COL","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","3999999.99996948","3008939.99996948","1085710","1192129.99999619","6013199.99993896","4000000","11000000","22000000","41000000","24000000","106000000","37000000","29000000","104278999.999023","23000000","7000000","32000000","26000000","44000000","29000000","16000000","24300000","50000000","240000000","148962389.6","256200396.4","327927276.9","809416020.81","795998232.09","115536027.24","325346527.95","16119450.89","856767431.1","937687150.31","192449086.93","4795518061.02","1267750971.84","1278796390.79","3085124368.14","3504657902.97","5482658781.7","8419825464.74","-606202092.789999","7652082779.15","3898950996.12","4217736435.99874","4517351920.02597","3689564074.544","",
